x,y,etiqueta
1.036,3.237,1.000
-3.053,-0.465,2.000
-2.076,1.073,2.000
-5.148,-4.030,2.000
-3.219,-2.159,2.000
-3.140,-2.626,2.000
-2.353,0.843,2.000
-2.131,2.510,2.000
-2.965,0.118,2.000
3.820,3.351,1.000
3.902,4.663,1.000
1.442,2.907,1.000
-3.206,-4.907,2.000
-4.207,0.806,2.000
3.236,2.558,1.000
4.176,2.543,1.000
-3.017,-5.652,2.000
1.382,3.603,1.000
3.449,1.166,1.000
4.142,4.089,1.000
1.004,2.306,1.000
-1.866,0.447,2.000
3.797,1.817,1.000
1.975,1.333,1.000
3.219,3.293,1.000
-1.414,-3.790,2.000
1.503,2.746,1.000
4.387,3.561,1.000
3.342,2.344,1.000
-0.565,-4.533,2.000
-5.322,-4.658,2.000
-4.163,-3.384,2.000
-3.386,-4.624,2.000
2.862,3.565,1.000
-4.477,0.222,2.000
-1.444,-5.031,2.000
3.045,3.707,1.000
-2.728,-2.220,2.000
2.827,4.920,1.000
3.235,3.425,1.000
2.697,5.463,1.000
3.622,2.224,1.000
-1.892,-2.748,2.000
-5.383,-1.939,2.000
2.901,4.293,1.000
-3.935,-6.114,2.000
-1.164,-0.163,2.000
1.951,2.343,1.000
0.335,1.935,1.000
3.206,2.548,1.000
-3.175,-0.707,2.000
-4.193,-5.985,2.000
-2.347,-4.095,2.000
-4.380,-1.480,2.000
-1.625,-0.535,2.000
-3.294,-6.409,2.000
-3.075,-7.817,2.000
-4.193,-8.393,2.000
-3.385,-0.321,2.000
3.401,2.034,1.000
3.188,1.974,1.000
-4.812,-3.276,2.000
-0.481,0.862,2.000
3.177,2.694,1.000
0.950,2.787,1.000
-2.388,-2.825,2.000
-3.427,-5.789,2.000
-5.047,-4.065,2.000
0.675,-2.924,2.000
3.289,2.932,1.000
2.680,3.052,1.000
-3.820,-4.678,2.000
3.953,2.567,1.000
1.403,2.734,1.000
2.818,2.201,1.000
-1.892,-3.952,2.000
-4.721,-4.729,2.000
-4.308,-2.544,2.000
-3.543,-0.050,2.000
-4.061,-5.323,2.000
-3.832,-2.954,2.000
-1.415,-4.156,2.000
-3.205,-0.954,2.000
1.005,1.413,1.000
-2.116,-2.959,2.000
2.051,2.757,1.000
-3.244,-1.528,2.000
-2.685,-0.506,2.000
-3.505,-4.184,2.000
-3.873,-6.358,2.000
-5.686,-0.717,2.000
-1.309,-5.549,2.000
-2.732,-1.175,2.000
4.780,2.249,1.000
-4.342,-1.581,2.000
-4.279,-3.002,2.000
-2.105,-3.729,2.000
-2.708,-2.905,2.000
-3.006,-2.881,2.000
-1.051,-5.180,2.000
-1.780,1.357,2.000
4.037,3.972,1.000
-3.342,-4.728,2.000
-2.771,-2.169,2.000
-3.111,0.258,2.000
3.411,2.288,1.000
3.146,5.911,1.000
3.437,4.103,1.000
-0.528,-3.924,2.000
-5.186,-5.373,2.000
1.383,3.914,1.000
-1.931,-2.605,2.000
-2.707,-4.637,2.000
2.189,3.177,1.000
4.312,3.002,1.000
3.936,3.482,1.000
3.728,1.536,1.000
-2.497,-5.476,2.000
-0.849,-1.688,2.000
3.879,4.070,1.000
3.926,3.070,1.000
-0.935,-1.485,2.000
-2.962,-4.857,2.000
-4.633,-7.266,2.000
3.064,3.117,1.000
4.733,1.731,1.000
-0.739,-3.645,2.000
2.453,2.949,1.000
1.996,3.271,1.000
-5.481,-4.999,2.000
2.879,4.354,1.000
2.247,2.123,1.000
2.162,4.472,1.000
-2.280,-0.943,2.000
3.788,3.907,1.000
-1.558,-3.274,2.000
2.795,0.776,1.000
-2.431,-5.167,2.000
-3.636,-4.364,2.000
4.018,2.639,1.000
3.335,3.777,1.000
2.298,5.190,1.000
3.087,1.591,1.000
-0.439,-0.462,2.000
1.645,1.554,1.000
-2.400,-2.065,2.000
-0.709,-2.887,2.000
-3.335,-1.542,2.000
3.399,3.042,1.000
3.108,3.849,1.000
1.298,3.754,1.000
1.134,3.368,1.000
-3.961,-5.344,2.000
-2.581,-3.431,2.000
-6.090,-3.757,2.000
2.532,4.087,1.000
-2.293,-4.195,2.000
-3.070,-0.124,2.000
3.247,3.295,1.000
-0.502,-5.103,2.000
1.380,-3.568,2.000
-3.236,-4.131,2.000
2.793,4.493,1.000
-1.465,-2.391,2.000
-3.762,-4.092,2.000
4.898,1.518,1.000
-3.174,-3.784,2.000
-1.596,-10.905,2.000
1.914,2.919,1.000
-1.542,-4.766,2.000
-4.777,-2.101,2.000
3.644,4.026,1.000
4.148,4.618,1.000
-4.315,-5.548,2.000
-4.248,-3.069,2.000
-1.872,-1.829,2.000
-3.703,-0.160,2.000
-5.349,-4.525,2.000
3.672,2.804,1.000
3.389,3.829,1.000
-2.146,-0.231,2.000
-3.029,-5.514,2.000
3.294,0.429,1.000
2.805,2.976,1.000
-4.860,-2.206,2.000
